timestamp,open,high,low,close
2019-05-27 22:11:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:10:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:09:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:08:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:07:00,0.8930,0.8930,0.8930,0.8930
2019-05-27 22:06:00,0.8930,0.8930,0.8930,0.8930
2019-05-27 22:05:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:04:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:03:00,0.8930,0.8930,0.8930,0.8930
2019-05-27 22:02:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:01:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 22:00:00,0.8930,0.8930,0.8930,0.8930
2019-05-27 21:59:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:58:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:57:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:56:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:55:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:54:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:53:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:52:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:51:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:50:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:49:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:48:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:47:00,0.8930,0.8930,0.8930,0.8930
2019-05-27 21:46:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:45:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:44:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:43:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:42:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:41:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:40:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:39:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:38:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:37:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:36:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:35:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:34:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:33:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:32:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:31:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:30:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:29:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:28:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:27:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:26:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:25:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:24:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:23:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:22:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:21:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:20:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:19:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 21:18:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:17:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:16:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:15:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:14:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:13:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:12:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:11:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:10:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:09:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:08:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:07:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:06:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:05:00,0.8930,0.8930,0.8930,0.8930
2019-05-27 21:04:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:03:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:02:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 21:01:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 21:00:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 20:59:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 20:58:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:57:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:56:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:55:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:54:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:53:00,0.8931,0.8931,0.8931,0.8931
2019-05-27 20:52:00,0.8934,0.8934,0.8934,0.8934
2019-05-27 20:51:00,0.8934,0.8934,0.8934,0.8934
2019-05-27 20:50:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:49:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 20:48:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 20:47:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:46:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:45:00,0.8934,0.8934,0.8934,0.8934
2019-05-27 20:44:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 20:43:00,0.8932,0.8932,0.8932,0.8932
2019-05-27 20:42:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:41:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:40:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:39:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:38:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:37:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:36:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:35:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:34:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:33:00,0.8933,0.8933,0.8933,0.8933
2019-05-27 20:32:00,0.8933,0.8933,0.8933,0.8933
